TG,Common Name,Class,Order,Family,Genus,Species,q,r,Vr,CVN,MA-Yr,RW-Yr,EX-Yr,RL-Yr,GL-Yr,TL-Yr,MA-G,RW-G,EX-G,RL-G,GL-G,TL-G,TI,BS,RA,HI,EF,DE,Mass,Len,Wing,RepT,MinAge,Lifesp,GenF,Gen,RepG,DispA,DirL,IndL,Sev,RanD,N,Dist,Den,Fert,NTr,TrL,Spec,Hum,Status,LegProt
Ins,Map-winged swift,Insecta,Lepidoptera,Hepialidae,Hepialus,fusconebulosa,16,0.019,0.103,0.24,4.91,9.12,7.81,4.7,4.69,5.29,4.96,7.97,7.62,4.73,4.74,5.69,0,3.689,0.25,0,0.357,0.333,,32,40,2,8,24,,8,5,4,1,0,1,1,1,2,,1000,2,3,1,2,LC,1
Ins,Gold swift,Insecta,Lepidoptera,Hepialidae,Hepialus,hecta,16,0,0.098,0.235,5,8.97,8.91,4.69,4.83,20.72,4.98,7.92,8.03,4.73,4.88,20.72,0,3.332,0.25,0.2,0.357,0.167,,15,28,2,8,12,,8,5,4,1,1,1,1,1,2,,1000,2,3,1,2,LC,1
Ins,Ghost,Insecta,Lepidoptera,Hepialidae,Hepialus,humuli,16,-0.013,0.047,0.172,5.33,7.48,8.57,4.51,4.55,4.98,5.17,6.77,7.01,4.56,4.64,5.1,0,4.007,0.25,0.2,0.357,0.167,,27,55,2,8,10,,8,5,4,1,1,1,1,1,2,,1000,2,3,1,2,LC,1
Ins,Common swift,Insecta,Lepidoptera,Hepialidae,Hepialus,lupulinus,16,0.006,0.154,0.231,4.8,10.3,9.77,4.96,4.67,4.75,4.88,8.99,8.82,5.08,4.72,4.81,0,3.466,0.25,0.2,0.357,0.167,,13,32,2,8,12,,8,5,4,1,1,1,1,1,2,,1000,2,3,1,1,LC,1
Ins,Orange swift,Insecta,Lepidoptera,Hepialidae,Hepialus,sylvina,16,0.038,0.058,0.217,5.21,7.98,5.6,4.68,4.57,4.55,5.16,7.07,6.29,4.68,4.68,4.67,0,3.689,0.25,0.2,0.357,0.167,,21,40,2,8,10,,8,5,4,1,1,1,1,1,2,,1000,2,3,1,2,LC,1
Ins,Pasture porina,Insecta,Lepidoptera,Hepialidae,Wiseana,cervinata,9,0.025,1.936,0.819,8.35,20.72,20.72,4.16,8.82,8.16,8.88,20.72,20.72,4.16,9.42,8.8,0,3.555,0.25,0.2,0.357,0.167,,17,35,2,9,10,,9,5,4,1,1,1,1,1,2,,1500,2,3,1,2,LC,1
Ins,Dingy skipper,Insecta,Lepidoptera,Hesperiidae,Erynnis,tages,9,0.091,0.362,0.532,12.22,13.81,7.95,6.04,5.95,5.83,10.7,11.46,9.45,6.46,6.25,6.03,0,3.401,0,0.2,0.357,0.167,,24.5,30,2,8,11,,8,5,4,1,1,1,1,1,1,,1000,2,3,1,1,LC,1
Ins,Silver spotted skipper,Insecta,Lepidoptera,Hesperiidae,Hesperia,comma,9,0.083,2.211,1.637,9.74,20.72,21.22,4.52,11.95,10.35,9.84,9.88,9.63,12.98,8.5,8.24,1,3.258,0,0.4,0.357,0.167,,10,26,2,1,6,,1,5,4,1,1,2,1,1,1,,1000,2,3,1,2,LC,2
Ins,Large skipper,Insecta,Lepidoptera,Hesperiidae,Ochlodes,venata,13,0.085,1.465,0.973,13.35,20.72,17.15,14.41,9.98,8.89,17.28,19.26,17.11,18.18,10.72,9.42,0,3.401,0.25,0.2,0.357,0.167,,28,30,2,8,10,,8,5,4,1,1,1,1,1,2,,1000,2,3,1,2,LC,1
Ins,Grizzled skipper,Insecta,Lepidoptera,Hesperiidae,Pyrgus,malvae,9,-0.149,1.141,1.317,11.91,20.72,20.72,16.12,10.22,9.26,15.58,15.48,18.31,13.57,10.47,9.57,0,3.219,0,0.2,0.357,0.167,,9,25,2,6,10,,6,5,4,1,1,1,1,1,1,,1000,2,3,1,2,LC,1
Ins,Small skipper,Insecta,Lepidoptera,Hesperiidae,Thymelicus,sylvestris,9,-0.026,0.661,0.618,15.49,16.8,19.05,6.87,6.06,20.72,13.24,14.3,14.79,7.59,6.36,20.72,0,3.401,0,0.2,0.357,0.167,,13,30,2,8,10,,8,5,4,1,1,1,1,1,1,,1000,2,3,1,2,LC,1
Ins,Pine spinner moth,Insecta,Lepidoptera,Lasiocampidae,Dendrolimus,pini,59,-0.065,2.094,3.972,15,20.72,20.72,4.12,16.25,14.11,15.57,20.72,20.72,4,16.81,15.01,0,4.06,0,0.2,0.714,0.167,,44,58,2,8,10,,8,5,4,1,0,2,1,1,1,,450,1,3,2,1,LC,1
Ins,Drinker,Insecta,Lepidoptera,Lasiocampidae,Euthrix,potatoria,16,-0.009,0.038,0.16,5.02,7.18,7.98,4.44,4.46,5.01,4.94,6.47,6.77,4.48,4.49,5.18,0,4.007,0,0.4,0.357,0.167,,30,55,2,8,10,,8,5,4,1,1,2,1,1,1,,750,2,3,1,2,LC,1
Ins,Lappet,Insecta,Lepidoptera,Lasiocampidae,Gastropacha,quercifolia,16,0,0.211,0.36,5.84,11.29,11.36,5.18,5.32,5.08,5.92,10.29,10.12,5.26,5.59,5.18,0,4.248,0,0.4,0.357,0.167,,45,70,2,9,10,,8,5,4,1,1,2,1,1,1,,750,2,3,1,2,LC,1
Ins,Oak eggar,Insecta,Lepidoptera,Lasiocampidae,Lasiocampa,quercus,16,-0.025,0.258,0.356,5.94,11.99,14.2,5.27,5.41,5.24,5.9,10.73,10.98,5.33,5.61,5.33,0,4.407,0.25,0.4,0.357,0.167,,33,82,2,8,11,,8,5,4,1,1,2,1,1,2,,750,2,3,1,2,LC,1
Ins,Fox moth,Insecta,Lepidoptera,Lasiocampidae,Macrothylacia,rubi,16,0.05,0.156,0.274,5.66,10.26,6.93,5.04,5.04,4.94,5.61,8.94,7.85,5.13,5.09,5,0,4.094,0.25,0.2,0.357,0.167,,28,60,2,8,11,,8,5,4,1,1,1,1,1,2,,750,2,3,1,2,LC,1
Ins,Lackey,Insecta,Lepidoptera,Lasiocampidae,Malacosoma,neustria,16,0.006,0.068,0.244,6.58,8.21,7.68,4.87,4.86,4.77,4.84,5.01,4.99,4.67,4.66,4.65,0,3.401,0,0.2,0.357,0.167,,18,30,2,1,6,,1,5,4,1,0,2,1,1,1,,1000,1,3,1,1,LC,1
Ins,December moth,Insecta,Lepidoptera,Lasiocampidae,Poecilocampa,populi,16,-0.003,0.042,0.152,4.84,7.34,7.54,4.44,4.44,4.45,4.54,5.27,5.3,4.43,4.42,4.42,0,3.738,0.25,0.2,0.357,0.167,,22,42,2,2,5,,2,5,4,1,1,1,1,1,2,,750,2,3,1,2,LC,1
Ins,Ground lackey,Insecta,Lepidoptera,Lasiocampidae,Trichiura,crataegi,16,0.006,0.021,0.17,5.6,6.45,6,4.48,4.49,4.44,4.7,4.88,4.83,4.43,4.44,4.41,0,3.584,0.25,0.4,0.357,0.167,,16,36,2,2,6,,2,5,4,1,1,2,1,1,2,,1000,2,3,1,2,LC,1
Ins,Brown argus,Insecta,Lepidoptera,Lycaenidae,Aricia,agestis,9,-0.147,1.332,0.53,7.67,20.72,20.72,8.73,6.33,7.96,12.46,18.94,20.72,9.29,6.56,8.13,0,3.401,0,0.4,0.357,0.167,,24.5,30,2,8,12,,8,5,4,1,1,2,1,1,1,,750,2,3,1,2,LC,1
Ins,Green hairstreak,Insecta,Lepidoptera,Lycaenidae,Callophrys,rubi,9,0.035,1.057,0.547,17.33,20.35,17.56,7.48,6.81,6.5,14.9,16.94,16.1,7.78,7.08,6.79,0,3.401,0,0.4,0.476,0.167,,13,30,2,8,11,,8,5,5,1,1,2,1,1,1,,750,2,3,1,2,LC,1
Ins,Small blue,Insecta,Lepidoptera,Lycaenidae,Cupido,minimus,9,0.085,0.793,1.056,16.36,18.13,12.21,8.41,7.81,7.1,14.46,15.34,13.51,9.19,8.22,7.39,0,3.135,0.25,0.4,0.357,0.167,,20,23,2,8,11,,8,5,4,1,1,2,1,1,2,,750,2,3,1,2,LC,1
Ins,Small copper,Insecta,Lepidoptera,Lycaenidae,Lycaena,phlaeas,9,0.022,1.222,0.82,11.78,20.72,19.66,11.12,6.65,6.54,15.94,18.26,17.5,14.17,6.75,6.78,0,3.401,0,0.4,0.476,0.167,,24.5,30,2,8,11,,8,5,5,1,1,2,1,1,1,,750,2,3,1,2,LC,1
Ins,Adonis blue,Insecta,Lepidoptera,Lycaenidae,Lysandra,bellargus,9,-0.034,1.747,0.72,7.92,20.72,20.72,8.1,7.68,8.24,11.28,12.23,12.55,7.85,7.44,8,1,3.555,0.25,0.4,0.357,0.167,,29.5,35,2,2,10,,2,1,4,1,1,2,1,1,2,,750,3,3,1,2,LC,1
Ins,Chalkhill blue,Insecta,Lepidoptera,Lycaenidae,Lysandra,coridon,9,0.047,0.359,0.571,12.48,13.56,10.13,6.26,5.76,6.2,10.96,11.5,10.58,6.54,5.91,6.48,1,3.584,0.25,0.4,0.714,0.167,,32.5,36,2,8,10,,8,1,4,1,1,2,1,1,2,,750,2,3,2,2,LC,2
Ins,Large blue butterfly,Insecta,Lepidoptera,Lycaenidae,Maculinea,arion,20,-0.054,1.358,1.315,11.82,20.72,20.72,12.83,10.05,20.72,17.12,18.55,19.85,14.7,10.93,20.72,1,2.996,0,0.8,0.714,0.167,,6,20,2,8,10,,8,5,4,1,1,3,2,1,1,,750,3,3,2,2,CD,2
Ins,Common blue,Insecta,Lepidoptera,Lycaenidae,Polyommatus,icarus,9,0.024,1.137,0.8,11.81,20.72,18.68,10.45,6.49,6.52,15.78,17.81,16.49,12.84,6.83,6.75,0,3.555,0,0.4,0.357,0.167,,27.5,35,2,8,11,,8,5,4,1,1,2,1,1,1,,750,2,3,1,2,LC,1
Ins,Pale tussock moth,Insecta,Lepidoptera,Lymantriidae,Dasychira,pudibunda,21,-0.011,1.193,0.621,7.58,20.72,20.72,10.79,7.45,7,7.98,17.75,18.35,12.93,7.75,7.3,0,3.807,0.25,0.4,0.357,0.167,,25,45,2,8,10,,8,5,4,1,1,2,1,1,2,,350,2,3,1,1,LC,1
Ins,Brown-tail,Insecta,Lepidoptera,Lymantriidae,Euproctis,chrysorrhoea,16,0.053,0.247,0.461,8.19,11.91,8.32,5.56,5.95,20.72,7.99,10.8,9.1,5.72,6.3,20.72,0,3.555,0,0.2,0.357,0.167,,19,35,2,9,10,,8,1,4,1,0,2,1,1,1,,300,1,3,1,1,LC,1
Ins,Yellow-tail,Insecta,Lepidoptera,Lymantriidae,Euproctis,similis,16,0.006,1.441,0.371,7.8,20.72,20.72,10.96,6.74,8.71,8.66,19.41,18.82,11.27,7.05,9.49,0,3.689,0,0.2,0.357,0.167,,18,40,2,8,10,,8,5,4,1,1,1,1,1,1,,450,2,3,1,2,LC,1
Ins,Gypsy moth,Insecta,Lepidoptera,Lymantriidae,Lymantria,dispar,32,-0.016,4.04,3.335,13.57,20.72,20.72,4.5,15.12,13.27,12.9,16.4,16.53,4.26,12.64,11.85,0,3.807,0,0.2,0.357,0.167,,35,45,2,2,6,,2,5,4,1,0,2,1,1,1,,400,1,3,1,1,LC,1
Ins,Black arches,Insecta,Lepidoptera,Lymantriidae,Lymantria,monacha,41,-0.115,3.736,1.957,9.61,20.72,20.72,4.32,9.61,9.8,9.27,15.96,16.71,4.74,9.21,9.46,0,3.807,0,0.2,0.357,0.167,,24,45,2,2,6,,2,5,4,1,0,2,1,1,1,,250,1,3,1,1,LC,1
Ins,Douglas fir tussock moth,Insecta,Lepidoptera,Lymantriidae,Orgyia,pseudotsugata,14,-0.32,5.635,3.086,20.72,20.72,20.72,20.72,20.72,20.72,18.69,19.16,20.72,18.38,16.56,15.8,0,3.497,0.5,0.2,0.714,0.167,,16,33,2,2,6,,2,5,4,1,0,2,1,1,3,,200,2,3,2,1,LC,1
Ins,Spectacle,Insecta,Lepidoptera,Noctuidae,Abrostola,triplasia,16,0.009,0.011,0.094,5.07,5.9,5.21,4.27,4.28,5.22,4.94,5.42,5.1,4.29,4.3,6.23,0,3.555,0.25,0,0.357,0.167,,18,35,2,8,11,,8,5,4,1,0,1,1,1,2,,575,2,3,1,2,LC,1
Ins,Popular grey,Insecta,Lepidoptera,Noctuidae,Acronicta,megacephala,16,-0.044,0.108,0.245,4.88,9.26,13.03,4.7,4.82,4.69,4.91,8.3,9.2,4.74,4.9,4.77,0,3.738,0.25,0.6,0.714,0.167,,26,42,2,8,11,,8,5,4,1,1,3,1,1,2,,525,2,3,2,2,LC,1
Ins,Knot grass,Insecta,Lepidoptera,Noctuidae,Acronicta,rumicis,21,0.021,0.519,0.614,5.88,15.44,13.65,6.25,5.65,5.63,6.05,13.25,12.56,6.63,5.81,5.79,0,3.555,0.25,0.2,0.357,0.167,,19,35,2,8,10,,8,5,4,1,1,1,1,1,2,,575,2,3,1,2,LC,1
Ins,Brick,Insecta,Lepidoptera,Noctuidae,Agrochola,circellaris,21,0.009,1.336,0.635,7.37,20.72,20.72,15.15,7.14,6.94,7.28,11.28,11.04,13.54,6.96,6.73,0,3.638,0.25,0.2,0.357,0.167,,19,38,2,2,10,,2,5,4,1,1,1,1,1,2,,520,2,3,1,2,LC,1
Ins,Flounced chestnut,Insecta,Lepidoptera,Noctuidae,Agrochola,helvolus,16,-0.05,0.044,0.169,4.46,7.49,11.84,4.4,4.4,4.41,4.47,6.69,7.92,4.43,4.44,4.44,0,3.466,0.25,0.4,0.357,0.167,,21,32,2,8,10,,8,5,4,1,1,2,1,1,2,,550,2,3,1,2,LC,1
Ins,Brown-spot pinion,Insecta,Lepidoptera,Noctuidae,Agrochola,litura,21,0.02,0.369,0.472,5.65,13.87,11.9,5.76,5.35,5.34,5.47,7.69,7.64,5.64,5.34,5.3,0,3.555,0.25,0,0.357,0.167,,19,35,2,2,8,,2,5,4,1,0,1,1,1,2,,525,2,3,1,2,LC,1
Ins,Red-line quaker,Insecta,Lepidoptera,Noctuidae,Agrochola,lota,16,0.003,0.021,0.133,5.16,6.49,6.18,4.38,4.38,4.35,4.54,4.86,4.86,4.35,4.35,4.33,0,3.584,0.25,0.2,0.357,0.167,,20,36,2,2,6,,2,5,4,1,1,1,1,1,2,,525,2,3,1,2,LC,1
Ins,Beaded chestnut,Insecta,Lepidoptera,Noctuidae,Agrochola,lychnidis,21,-0.062,0.793,1.194,11.58,18.08,20.72,9.73,8.05,7.85,8.33,9.62,9.85,7.84,7.43,7.16,0,3.664,0.25,0.2,0.357,0.167,,20,39,2,2,6,,2,5,4,1,1,1,1,1,2,,525,2,3,1,2,LC,1
Ins,Yellow-line quaker,Insecta,Lepidoptera,Noctuidae,Agrochola,macilentus,21,0.182,1.323,1.13,10.91,20.72,11.39,13.37,10.23,9.06,15.01,18.19,13.84,16.53,10.75,9.64,0,3.526,0.25,0,0.357,0.167,,18,34,2,8,10,,8,5,4,1,0,1,1,1,2,,525,2,3,1,2,LC,1
Ins,Owlet moth,Insecta,Lepidoptera,Noctuidae,Agrochola,nitidus,21,-0.047,0.402,1.039,14.29,13.99,17.87,11.63,11.16,9.93,12.08,12.05,13.4,10.8,10.7,9.93,0,3.555,0.25,0.4,0.476,0.167,,,35,2,8,10,,8,5,5,1,1,2,1,1,2,,525,2,3,1,2,LC,1
Ins,Heart and Club,Insecta,Lepidoptera,Noctuidae,Agrotis,clavis,21,0.093,0.423,0.794,9.95,14.39,8.62,7.07,6.45,6.31,9.46,12.15,10.22,7.44,6.75,6.55,0,3.638,0.25,0,0.357,0.167,,30,38,2,8,12,,8,5,4,1,0,1,1,1,2,,1500,2,3,1,1,LC,1
Ins,Heart and Dart,Insecta,Lepidoptera,Noctuidae,Agrotis,exclamationis,25,0.044,0.402,0.552,5.71,14.05,10.77,5.76,5.43,20.72,5.89,12.5,11.52,5.94,5.64,20.72,0,3.689,0.25,0,0.357,0.333,,24,40,2,9,24,,9,5,4,1,0,1,1,1,2,,1000,2,3,1,1,LC,1
Ins,Dark sword grass,Insecta,Lepidoptera,Noctuidae,Agrotis,ipsilon,25,-0.22,4.835,2.11,10.94,20.72,20.72,4.1,11.01,10.48,11.8,20.72,20.72,4.23,11.88,11.25,0,3.871,0.25,0,0.238,0.167,,28,48,2,8,10,,8,5,3,1,0,1,1,1,2,,525,2,3,1,2,LC,1
Ins,Shuttle-shaped dart,Insecta,Lepidoptera,Noctuidae,Agrotis,puta,16,0.038,0.113,0.349,7.19,9.46,6.89,5.18,5.09,5.01,7.03,8.75,7.62,5.28,5.18,5.17,0,3.434,0.25,0,0.357,0.167,,35,31,2,10,12,,10,5,4,1,0,1,1,1,2,,1500,2,3,1,1,LC,1
Ins,Turnip moth,Insecta,Lepidoptera,Noctuidae,Agrotis,segetum,25,-0.036,0.689,0.824,7.1,17.09,20.16,7.31,6.06,6.38,7.11,13.09,13.65,7.63,6.22,6.53,0,3.611,0,0,0.357,0.167,,22,37,2,6,10,,6,5,4,1,0,1,1,1,1,,1000,1,3,1,1,LC,1
Ins,Archer's dart,Insecta,Lepidoptera,Noctuidae,Agrotis,vestigialis,16,0.006,0.044,0.173,5.26,7.39,6.98,4.51,4.57,4.5,5.24,7.04,6.74,4.57,4.68,4.52,0,3.555,0,0.2,0.357,0.333,,22,35,2,10,24,,10,5,4,1,0,2,1,1,1,,1500,2,3,1,1,LC,1
Ins,Green-brindled crescent,Insecta,Lepidoptera,Noctuidae,Allophyes,oxyacanthae,16,0,0.029,0.138,4.75,6.81,6.86,4.37,4.37,4.47,4.45,5.05,5.02,4.33,4.34,4.42,0,3.761,0.25,0.2,0.357,0.167,,20,43,2,2,6,,2,5,4,1,1,1,1,1,2,,550,2,3,1,2,LC,1
Ins,Setaceous Hebrew character or Spotted cutworm,Insecta,Lepidoptera,Noctuidae,Amathes,c-nigrum,11,-0.241,1.059,1.328,13.43,20.72,20.72,16.78,10.05,11.75,16.45,17.24,20.72,14.79,10.83,12.41,0,3.689,0,0,0.357,0.167,,25,40,2,8,10,,8,5,4,1,0,1,1,1,1,,450,1,3,1,1,LC,1
Ins,Saltern ear,Insecta,Lepidoptera,Noctuidae,Amphipoea,fucosa,21,-0.008,1.186,0.818,7.61,20.72,20.72,10.39,6.65,6.73,9.28,17.79,17.85,13.43,6.91,6.98,0,3.466,0.25,0.2,0.357,0.167,,33,32,2,8,10,,8,5,4,1,1,1,1,1,2,,550,2,3,1,2,LC,1
Ins,Mouse,Insecta,Lepidoptera,Noctuidae,Amphipyra,tragopoginis,16,0.006,0.03,0.14,4.91,6.81,6.43,4.4,4.39,4.41,4.83,6.23,6.09,4.43,4.44,4.46,0,3.584,0,0,0.476,0.167,,,36,2,8,12,,8,5,5,1,0,1,1,1,1,,575,2,3,1,2,LC,1
Ins,Green arches,Insecta,Lepidoptera,Noctuidae,Anaplectoides,prasina,16,-0.013,0.216,0.341,7.55,11.39,12.39,5.57,5.32,5.25,7,9.73,10.03,5.71,5.45,5.34,0,3.871,0.25,0.4,0.357,0.167,,28,48,2,8,10,,8,5,4,1,1,2,1,1,2,,550,2,3,1,2,LC,1
Ins,Grey chi,Insecta,Lepidoptera,Noctuidae,Antitype,chi,16,-0.063,0.067,0.202,6.61,8.29,13.8,4.73,4.84,6.4,5.18,5.58,5.99,4.72,4.76,5.86,0,3.584,0.25,0,0.357,0.167,,22,36,2,2,10,,2,5,4,1,0,1,1,1,2,,520,2,3,1,2,LC,1
Ins,Large nutmeg,Insecta,Lepidoptera,Noctuidae,Apamea,anceps,25,0.049,0.287,0.51,5.9,12.41,9.11,5.67,5.39,5.65,5.98,10.78,9.66,5.79,5.59,5.81,0,3.638,0.25,0.2,0.357,0.167,,22,38,2,8,10,,8,5,4,1,1,1,1,1,2,,520,2,3,1,2,LC,1
Ins,Clouded-bordered brindle,Insecta,Lepidoptera,Noctuidae,Apamea,crenata,16,-0.025,0.064,0.136,4.39,8.12,10.18,4.5,4.34,4.41,4.43,7.12,7.73,4.54,4.37,4.45,0,3.689,0,0,0.357,0.167,,24,40,2,8,10,,8,5,4,1,0,1,1,1,1,,520,2,3,1,2,LC,1
Ins,Scarce brindle,Insecta,Lepidoptera,Noctuidae,Apamea,lateritia,21,0.034,0.443,0.796,10.06,14.55,12.02,7.39,6.71,6.42,9.43,12.38,11.44,7.8,7.02,6.68,0,3.401,0.25,0.2,0.357,0.167,,32,30,2,8,10,,8,5,4,1,1,1,1,1,2,,525,2,3,1,2,LC,1
Ins,Light arches,Insecta,Lepidoptera,Noctuidae,Apamea,lithoxylaea,21,-0.02,1.032,0.581,8.98,19.92,20.72,9.52,6.88,6.84,9.68,16.47,17.29,11.11,7.2,7.12,0,3.829,0.25,0.2,0.357,0.167,,24,46,2,8,10,,8,5,4,1,1,1,1,1,2,,525,2,3,1,2,LC,1
Ins,Dark arches,Insecta,Lepidoptera,Noctuidae,Apamea,monoglypha,25,0.033,0.649,0.779,5.95,16.56,14.35,6.27,5.66,5.77,6.16,14.03,13.42,6.61,5.77,5.9,0,3.912,0.25,0,0.357,0.167,,32,50,2,8,10,,8,5,4,1,0,1,1,1,2,,525,2,3,1,2,LC,1
Ins,Double lobed,Insecta,Lepidoptera,Noctuidae,Apamea,ophiogramma,16,0.056,0.237,0.263,5.04,11.83,8.01,5.38,4.85,5,5.23,10.85,9.52,5.8,4.93,5.12,0,3.497,0.25,0.4,0.357,0.167,,17,33,2,10,12,,10,5,4,1,1,2,1,1,2,,550,2,3,1,2,LC,1
Ins,Dusky brocade,Insecta,Lepidoptera,Noctuidae,Apamea,remissa,16,-0.012,0.017,0.132,5.78,6.24,7.27,4.42,4.43,4.4,5.33,5.69,6.01,4.46,4.47,4.45,0,3.664,0.25,0,0.357,0.167,,23,39,2,8,10,,8,5,4,1,0,1,1,1,2,,575,2,3,1,2,LC,1
Ins,Slender brindle,Insecta,Lepidoptera,Noctuidae,Apamea,scolopacina,16,0.05,0.032,0.308,6.01,7.08,4.67,4.97,5.1,4.92,5.84,6.42,5.27,5.05,5.18,5.05,0,3.526,0.25,0.4,0.357,0.167,,18,34,2,8,10,,8,5,4,1,1,2,1,1,2,,575,2,3,1,2,LC,1
Ins,Rustic shoulder-knot,Insecta,Lepidoptera,Noctuidae,Apamea,sordens,25,-0.049,0.194,0.564,7.83,11.09,15.11,6.41,5.45,5.6,7.26,9.66,10.78,6.65,5.71,5.74,0,3.638,0.25,0.2,0.357,0.167,,22,38,2,8,11,,8,5,4,1,1,1,1,1,2,,575,2,3,1,2,LC,1
Ins,Grey dagger,Insecta,Lepidoptera,Noctuidae,Apatele,psi,21,-0.037,0.571,0.579,6.23,15.95,18.98,6.41,5.92,5.75,5.97,8.8,9.01,6.29,5.78,5.64,0,3.689,0.25,0,0.357,0.167,,24,40,2,2,10,,2,5,4,1,0,1,1,1,2,,550,2,3,1,2,LC,1
Ins,Deep-brown dart,Insecta,Lepidoptera,Noctuidae,Aporophyla,lutulenta,16,-0.031,0.035,0.277,5.67,7.11,9.74,4.66,4.67,4.54,5.34,6.41,7.17,4.74,4.74,4.67,0,3.689,0.25,0.4,0.357,0.167,,24,40,2,8,11,,8,5,4,1,1,2,1,1,2,,525,2,3,1,2,LC,1
Ins,Black rustic,Insecta,Lepidoptera,Noctuidae,Aporophyla,nigra,16,-0.025,0.068,0.195,5.47,8.24,10.29,4.66,4.67,4.57,5.27,7.3,7.96,4.74,4.73,4.69,0,3.761,0.25,0.2,0.357,0.167,,27,43,2,8,10,,8,5,4,1,1,1,1,1,2,,525,2,3,1,2,LC,1
Ins,Centre-barred sallow,Insecta,Lepidoptera,Noctuidae,Atethmia,centrago,16,0.022,0.083,0.242,6.06,8.59,7.06,4.84,4.86,4.76,5.11,5.77,5.61,4.76,4.76,4.7,0,3.526,0.25,0,0.357,0.167,,18,34,2,2,10,,2,5,4,1,0,1,1,1,2,,520,2,3,1,2,LC,1
Ins,Gold spangle,Insecta,Lepidoptera,Noctuidae,Autographa,bractea,16,-0.012,0.111,0.271,7.24,9.27,10.37,5.06,5.07,4.96,6.66,8.14,8.46,5.17,5.18,5.04,0,3.807,0.25,0,0.357,0.167,,23,45,2,8,10,,8,5,4,1,0,1,1,1,2,,520,2,3,1,1,LC,1
Ins,Silver Y,Insecta,Lepidoptera,Noctuidae,Autographa,gamma,27,0,0.67,0.766,6.97,16.74,16.78,6.79,5.99,8.74,7.77,15.38,15.48,7.44,6.32,11.02,0,3.738,0,0.2,0.238,0.167,,22,42,2,10,12,,10,5,3,1,0,2,1,1,1,,550,1,3,1,1,LC,1
Ins,Plain golden Y,Insecta,Lepidoptera,Noctuidae,Autographa,jota,16,-0.025,0.079,0.183,6.1,8.5,10.62,4.78,4.78,4.7,5.86,7.96,8.74,4.83,4.8,4.81,0,3.738,0,0.2,0.357,0.167,,25,42,2,10,12,,10,5,4,1,0,2,1,1,1,,525,2,3,1,2,LC,1
Ins,Beautiful golden,Insecta,Lepidoptera,Noctuidae,Autographa,pulchrina,16,-0.012,0.049,0.157,5.1,7.56,8.64,4.5,4.5,4.51,4.97,6.86,7.11,4.53,4.54,4.55,0,3.689,0.25,0,0.357,0.167,,25,40,2,8,11,,8,5,4,1,0,1,1,1,2,,550,2,3,1,1,LC,1
Ins,Flame,Insecta,Lepidoptera,Noctuidae,Axylia,putris,21,0.037,0.846,0.519,6.72,18.5,15.72,9.76,6,6.05,7.07,15.79,14.77,11.9,6.21,6.34,0,3.497,0.25,0,0.357,0.167,,20,33,2,8,11,,8,5,4,1,0,1,1,1,2,,575,2,3,1,1,LC,1
Ins,Dark brocade,Insecta,Lepidoptera,Noctuidae,Blepharita,adusta,16,-0.025,0.063,0.23,5.5,8.09,10.2,4.69,4.72,4.58,5.29,7.23,7.74,4.75,4.77,4.69,0,3.689,0.25,0.4,0.357,0.167,,20,40,2,8,10,,8,5,4,1,1,2,1,1,2,,520,2,3,1,2,LC,1
Ins,Spawler moth,Insecta,Lepidoptera,Noctuidae,Brachionycha,sphinx,16,0.009,0.046,0.24,6.43,7.48,6.88,4.77,4.81,4.97,5.08,5.29,5.27,4.71,4.76,4.81,0,3.738,0.25,0.4,0.357,0.167,,26,42,2,2,6,,2,5,4,1,1,2,1,1,2,,575,2,3,1,2,LC,1
Ins,Minor shoulder-knot,Insecta,Lepidoptera,Noctuidae,Brachylomia,viminalis,16,0.016,0.036,0.222,5.87,7.16,6.01,4.58,4.67,4.82,4.86,5.13,5.04,4.55,4.57,4.66,0,3.466,0.25,0.2,0.357,0.167,,15,32,2,2,6,,2,5,4,1,1,1,1,1,2,,575,2,3,1,2,LC,1
Ins,The cresent,Insecta,Lepidoptera,Noctuidae,Calaena,leucostigma,16,-0.012,0.094,0.244,7.01,8.84,9.84,4.73,4.77,10.98,6.65,5.88,6.05,4.68,4.7,10.57,1,3.689,0.25,0.2,0.357,0.167,,24,40,2,2,6,,2,5,4,1,1,1,1,1,2,,525,2,3,1,2,LC,2
Ins,Dun-bar,Insecta,Lepidoptera,Noctuidae,Calymnia,trapezina,21,-0.143,0.747,1.191,11.16,17.74,20.72,12.32,7.34,7.3,8.18,9.39,10.43,8.55,6.96,6.92,0,3.497,0.25,0,0.5,0.167,,17,33,2,2,6,,2,5,4,1,0,1,1,1,2,,575,2,4,1,2,LC,1
Ins,Pale mottled willow,Insecta,Lepidoptera,Noctuidae,Caradrina,clavipalpis,21,0.28,0.967,1.101,12.38,20.07,7.33,10.06,9.07,16.43,12.64,16.86,10.75,12.06,9.71,20.72,0,3.401,0.25,0.2,0.357,0.167,,13,30,2,8,11,,8,5,4,1,0,2,1,1,2,,520,2,3,1,1,LC,1
Ins,Mottled rustic,Insecta,Lepidoptera,Noctuidae,Caradrina,morpheus,21,0.048,0.201,0.392,5.01,11.32,7.83,5.06,4.94,4.96,5.1,9.75,8.46,5.15,5.04,5.03,0,3.555,0.25,0,0.357,0.167,,20,35,2,8,10,,8,5,4,1,0,1,1,1,2,,525,2,3,1,1,LC,1
