assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
132051022,22678927,Margaroperdix madagarensis,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Margaroperdix,madagarensis,,,,"(Scopoli, 1786)",Least Concern,,3.1,Decreasing,Global
132123622,22718991,Ploceus nelicourvi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PLOCEIDAE,Ploceus,nelicourvi,,,,"(Scopoli, 1786)",Least Concern,,3.1,Stable,Global
173128661,22693532,Actophilornis albinucha,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,JACANIDAE,Actophilornis,albinucha,,,,"(Geoffroy Saint-Hilaire, 1832)",Endangered,C2a(ii),3.1,Decreasing,Global
173353411,22695678,Accipiter henstii,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,henstii,,,,"(Schlegel, 1873)",Vulnerable,C2a(i); D1,3.1,Decreasing,Global
177366079,22713021,Crossleyia tenebrosa,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,BERNIERIDAE,Crossleyia,tenebrosa,,,,"(Stresemann, 1925)",Data Deficient,,3.1,Decreasing,Global
179322914,22724980,Mentocrex beankaensis,ANIMALIA,CHORDATA,GRUIFORMES,AVES,RALLIDAE,Mentocrex,beankaensis,,,,"(Goodman, 2011)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
181612412,22715082,Newtonia amphichroa,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VANGIDAE,Newtonia,amphichroa,,,,"Reichenow, 1891",Least Concern,,3.1,Unknown,Global
189742097,22692504,Rallus madagascariensis,ANIMALIA,CHORDATA,GRUIFORMES,AVES,RALLIDAE,Rallus,madagascariensis,,,,"Verreaux, 1833",Vulnerable,A3c+4c,3.1,Decreasing,Global
192726722,22716161,Hartertula flavoviridis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,BERNIERIDAE,Hartertula,flavoviridis,,,,"Hartert, 1924",Near Threatened,A3c+4c,3.1,Decreasing,Global
193044857,22682969,Uratelornis chimaera,ANIMALIA,CHORDATA,CORACIIFORMES,AVES,BRACHYPTERACIIDAE,Uratelornis,chimaera,,,,"Rothschild, 1895",Vulnerable,A2cde+3cde+4cde,3.1,Decreasing,Global
193815333,22692971,Monias benschi,ANIMALIA,CHORDATA,MESITORNITHIFORMES,AVES,MESITORNITHIDAE,Monias,benschi,,,,"Oustalet & Grandidier, 1903",Vulnerable,"A2cd+3cd+4cd; B1ab(i,ii,iii,v)",3.1,Decreasing,Global
193850974,22682937,Geobiastes squamiger,ANIMALIA,CHORDATA,CORACIIFORMES,AVES,BRACHYPTERACIIDAE,Geobiastes,squamiger,,,,"(Lafresnaye, 1838)",Vulnerable,A3c+4c,3.1,Decreasing,Global
194662220,22692250,Sarothrura watersi,ANIMALIA,CHORDATA,GRUIFORMES,AVES,RALLIDAE,Sarothrura,watersi,,,,"(Bartlett, 1879)",Near Threatened,C2a(i); D1,3.1,Decreasing,Global
194884811,22692654,Zapornia olivieri,ANIMALIA,CHORDATA,GRUIFORMES,AVES,RALLIDAE,Zapornia,olivieri,,,,"(Grandidier & Berlioz, 1929)",Endangered,C2a(i),3.1,Decreasing,Global
196314602,22680225,Anas melleri,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Anas,melleri,,,,"P.L. Sclater, 1865",Endangered,C2a(ii),3.1,Decreasing,Global
196427769,22716767,Crossleyia xanthophrys,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,BERNIERIDAE,Crossleyia,xanthophrys,,,,"(Sharpe, 1875)",Least Concern,,3.1,Decreasing,Global
196446398,22693107,Gallinago macrodactyla,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Gallinago,macrodactyla,,,,"Bonaparte, 1839",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
196544442,22680252,Anas bernieri,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Anas,bernieri,,,,"(Hartlaub, 1860)",Endangered,C2a(ii),3.1,Decreasing,Global
208892008,22715094,Newtonia fanovanae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VANGIDAE,Newtonia,fanovanae,,,,"Gyldenstolpe, 1933",Vulnerable,A2c+3c+4c,3.1,Decreasing,Global
