assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,candidate,scientific_resolved,MSW3_ID,MSWFamilyLatin,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,ForStrat.Comment,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,Activity.Source,Activity.Certainty,BodyMass.Value,BodyMass.Source,BodyMass.SpecLevel,Diet.VertFishScav,Diet.FruiNect,Diet.PlantSeed,Diet.AllPlants,Diet.AllAnimal,Diet,Effect_Order,Effect_Family,Effect_Species,effect_diet,log10_density,density,body_mass_kg,home_range_size,dispersal_dist,min_patch_size,min_patch_size500,level1_habitats,habitats_mixed,a_pred,b_pred
115565375,9678,hapalemur occidentalis,ANIMALIA,CHORDATA,primates,MAMMALIA,lemuridae,Hapalemur,occidentalis,NA,NA,NA,"Rumpler, 1975",Vulnerable,A2cd,3.1,Decreasing,Global,NA,hapalemur occidentalis,502,Lemuridae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,Ar,A,NA,0,0,1,Ref_1,ABC,750,Ref_129,1,0,0,100,100,0,herbivore,-0.02762622,0.507790941,0,-0.1003301887,1.9135429642355475,81.94886902098202,0.75,0.0405,1.126978260659894,0.12202730946097158,6.101365473048579,Forest,Forest,348367422.1976847,2.562735179561773
115565566,10826,indri indri,ANIMALIA,CHORDATA,primates,MAMMALIA,indriidae,Indri,indri,NA,NA,NA,"(Gmelin, 1788)",Critically Endangered,A3cd+4cd,3.1,Decreasing,Global,NA,indri indri,520,Indriidae,0,0,0,0,0,0,30,0,0,70,Ref_1,ABC,Ar,A,NA,0,0,1,Ref_1,ABC,8000,Ref_117,1,0,30,70,100,0,herbivore,-0.02762622,0.266011713,-0.38593239,-0.1003301887,0.9469406307618813,8.849946203870715,8,0.432,3.680695586434716,1.1299503714074877,56.49751857037438,Forest,Forest,178949086.84354284,2.6380740379523515
115565760,11496,lemur catta,ANIMALIA,CHORDATA,primates,MAMMALIA,lemuridae,Lemur,catta,NA,NA,NA,"Linnaeus, 1758",Endangered,A4cd,3.1,Decreasing,Global,NA,lemur catta,505,Lemuridae,0,0,0,0,0,0,80,0,0,20,Ref_1,ABC,S,A,NA,0,0,1,Ref_1,ABC,2900,Ref_117,1,0,80,20,100,0,herbivore,-0.02762622,0.507790941,0.36154982,-0.1003301887,2.0814766316789677,120.63591752218004,2.9,0.1566,2.21607220098985,0.08289405183295769,4.144702591647884,"Forest, Shrubland, Rocky Areas, Caves & Subterranean (non-aquatic)","Forest, Shrubland, Rocky Areas, Caves & Subterranean (non-aquatic)",245799519.82518327,2.6125143003733795
115566145,11617,lepilemur edwardsi,ANIMALIA,CHORDATA,primates,MAMMALIA,lepilemuridae,Lepilemur,edwardsi,NA,NA,NA,"(Forbes, 1894)",Endangered,A2cd+3cd+4cd,3.1,Decreasing,Global,NA,lepilemur edwardsi,513,Lepilemuridae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,Ar,A,NA,1,0,0,Ref_1,ABC,700,Ref_117,1,0,0,100,100,0,herbivore,-0.02762622,0.341742337,0.056046369,-0.1003301887,1.8134181363304758,65.07559330442751,0.7,0.0378,1.0887644373325205,0.15366744261891555,7.683372130945777,Forest,Forest,354195055.7968311,2.5598108725684527
115566334,11618,lepilemur leucopus,ANIMALIA,CHORDATA,primates,MAMMALIA,lepilemuridae,Lepilemur,leucopus,NA,NA,NA,"(Major, 1894)",Endangered,"B1ab(i,iii,v)",3.1,Decreasing,Global,NA,lepilemur leucopus,509,Lepilemuridae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,Ar,A,NA,1,0,0,Ref_1,ABC,650,Ref_117,1,0,0,100,100,0,herbivore,-0.02762622,0.341742337,0,-0.1003301887,1.7679814809743026,58.61131711587014,0.65,0.0351,1.0491596637309308,0.17061551406924974,8.530775703462487,Forest,Forest,360261452.9943899,2.5565336152179214
115566492,11619,lepilemur microdon,ANIMALIA,CHORDATA,primates,MAMMALIA,lepilemuridae,Lepilemur,microdon,NA,NA,NA,"(Forsyth Major, 1894)",Endangered,"B1ab(i,iii,v)",3.1,Decreasing,Global,NA,lepilemur microdon,512,Lepilemuridae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,Ar,A,NA,1,0,0,Ref_1,ABC,900,Ref_117,1,0,0,100,100,0,herbivore,-0.02762622,0.341742337,-0.175864214,-0.1003301887,1.545527967853603,35.117853911107694,0.9,0.0486,1.2345428303627215,0.28475544164266325,14.237772082133162,Forest,Forest,332907406.417538,2.570157502270856
115566869,11621,lepilemur ruficaudatus,ANIMALIA,CHORDATA,primates,MAMMALIA,lepilemuridae,Lepilemur,ruficaudatus,NA,NA,NA,"A. Grandidier, 1867",Critically Endangered,A3cd+4cd,3.1,Decreasing,Global,NA,lepilemur ruficaudatus,511,Lepilemuridae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,Ar,A,NA,1,0,0,Ref_1,ABC,700,Ref_117,1,0,0,100,100,0,herbivore,-0.02762622,0.341742337,0.120348371,-0.1003301887,1.8777201383304756,75.46057989710836,0.7,0.0378,1.0887644373325205,0.1325195222940925,6.625976114704625,Forest,Forest,354195055.7968311,2.5598108725684527
115567059,11622,lepilemur septentrionalis,ANIMALIA,CHORDATA,primates,MAMMALIA,lepilemuridae,Lepilemur,septentrionalis,NA,NA,NA,"Rumpler &amp; Albignac, 1975",Critically Endangered,"A2acd+3cd+4acd; C2a(i,ii); D",3.1,Decreasing,Global,NA,lepilemur septentrionalis,510,Lepilemuridae,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,Ar,A,NA,1,0,0,Ref_1,ABC,750,Ref_117,1,0,0,100,100,0,herbivore,-0.02762622,0.341742337,0,-0.1003301887,1.7474943602355473,55.9106266948436,0.75,0.0405,1.126978260659894,0.17885687553779928,8.942843776889964,Forest,Forest,348367422.1976847,2.562735179561773
115567718,13584,mirza coquereli,ANIMALIA,CHORDATA,primates,MAMMALIA,cheirogaleidae,Mirza,coquereli,NA,NA,NA,"(A. Grandidier, 1867)",Endangered,A2cd+3cd+4cd,3.1,Decreasing,Global,NA,mirza coquereli,485,Cheirogaleidae,60,0,0,0,10,0,10,0,10,10,Ref_82,ABC,Ar,A,NA,1,0,0,Ref_1,ABC,308,Ref_117,1,10,10,20,30,70,omnivore,-0.02762622,0.445551765,-0.32297897,-0.0552981064,1.700770495863289,50.20771953027358,0.308,0.016632,0.722204624742877,0.1991725593904008,9.95862796952004,Forest,Forest,395335737.3530277,2.5112720505862294
115570701,16872,phaner furcifer,ANIMALIA,CHORDATA,primates,MAMMALIA,cheirogaleidae,Phaner,furcifer,NA,NA,NA,"(de Blainville, 1839)",Endangered,A2acd+3cd+4acd,3.1,Decreasing,Global,phaner furcifer,phaner furcifer,487,Cheirogaleidae,0,0,0,0,0,0,0,100,0,0,Ref_1,ABC,Ar,A,NA,1,0,0,Ref_1,ABC,400,Ref_117,1,0,100,0,100,0,herbivore,-0.02762622,0.445551765,0,-0.1003301887,1.9412989355412535,87.35724628374452,0.4,0.0216,0.8230285535751478,0.11447247281031574,5.723623640515787,Forest,Forest,385956632.6433347,2.5286953275358477
115570887,16873,phaner parienti,ANIMALIA,CHORDATA,primates,MAMMALIA,cheirogaleidae,Phaner,parienti,NA,NA,NA,"Groves &amp; Tattersall, 1991",Endangered,"B1ab(i,iii)",3.1,Decreasing,Global,phaner furcifer,phaner parienti,489,Cheirogaleidae,0,0,0,0,0,0,0,100,0,0,Ref_1,ABC,Ar,A,NA,1,0,0,Ref_1,ABC,425,Ref_117,1,0,100,0,100,0,herbivore,-0.02762622,0.445551765,0,-0.1003301887,1.9326195740833059,85.62874404613858,0.425,0.022949999999999998,0.8483584148224144,0.11678321469496024,5.839160734748012,Forest,Forest,384127141.94312924,2.5327676990641415
115571047,16874,phaner pallescens,ANIMALIA,CHORDATA,primates,MAMMALIA,cheirogaleidae,Phaner,pallescens,NA,NA,NA,"Groves &amp; Tattersall, 1991",Endangered,A2c+3c+4c,3.1,Decreasing,Global,phaner furcifer,phaner pallescens,488,Cheirogaleidae,0,0,0,0,0,0,0,100,0,0,Ref_1,ABC,Ar,A,NA,1,0,0,Ref_1,ABC,425,Ref_117,1,0,100,0,100,0,herbivore,-0.02762622,0.445551765,0.079322964,-0.1003301887,2.0119425380833063,102.78802893085073,0.425,0.022949999999999998,0.8483584148224144,0.09728759374038942,4.864379687019471,"Forest, Artificial - Terrestrial","Forest, Plantations & Heavily Degraded Former Forest",384127141.94312924,2.5327676990641415
115571235,16875,phaner electromontis,ANIMALIA,CHORDATA,primates,MAMMALIA,cheirogaleidae,Phaner,electromontis,NA,NA,NA,"Groves &amp; Tattersall, 1991",Endangered,"B1ab(i,iii)",3.1,Decreasing,Global,phaner furcifer,phaner electromontis,486,Cheirogaleidae,0,0,0,0,0,0,0,100,0,0,Ref_1,ABC,Ar,A,NA,1,0,0,Ref_1,ABC,425,Ref_117,1,0,100,0,100,0,herbivore,-0.02762622,0.445551765,0,-0.1003301887,1.9326195740833059,85.62874404613858,0.425,0.022949999999999998,0.8483584148224144,0.11678321469496024,5.839160734748012,Forest,Forest,384127141.94312924,2.5327676990641415
115571806,18352,propithecus tattersalli,ANIMALIA,CHORDATA,primates,MAMMALIA,indriidae,Propithecus,tattersalli,NA,NA,NA,"Simons, 1988",Critically Endangered,A2acd+4acd,3.1,Decreasing,Global,NA,propithecus tattersalli,526,Indriidae,0,0,0,0,0,0,30,0,0,70,Ref_1,ABC,Ar,A,NA,0,0,1,Ref_1,ABC,3500,Ref_117,1,0,30,70,100,0,herbivore,-0.02762622,0.266011713,0.029414432,-0.1003301887,1.4806394017098488,30.244012000237774,3.5,0.189,2.4345512933598257,0.3306439635033005,16.532198175165025,"Forest, Artificial - Terrestrial","Forest, Plantations & Heavily Degraded Former Forest",232755908.97533357,2.6181266457100194
115572044,18354,propithecus verreauxi,ANIMALIA,CHORDATA,primates,MAMMALIA,indriidae,Propithecus,verreauxi,NA,NA,NA,"A. Grandidier, 1867",Critically Endangered,A2cde+3cde+4cde,3.1,Decreasing,Global,propithecus verreauxi,propithecus verreauxi,522,Indriidae,0,0,0,0,0,0,30,0,0,70,Ref_1,ABC,Ar,A,NA,0,0,1,Ref_1,ABC,3480,Ref_117,1,0,30,70,100,0,herbivore,-0.02762622,0.266011713,-0.017971965,-0.1003301887,1.4340734402970234,27.1689866444198,3.48,0.18792,2.4275854670845267,0.3680667273637122,18.40333636818561,"Forest, Shrubland","Forest, Shrubland",233143269.55852637,2.6179582619548407
115572275,18355,propithecus coquereli,ANIMALIA,CHORDATA,primates,MAMMALIA,indriidae,Propithecus,coquereli,NA,NA,NA,"(A. Grandidier, 1867)",Critically Endangered,A2cd+3cd+4cd,3.1,Decreasing,Global,propithecus verreauxi,propithecus coquereli,525,Indriidae,0,0,0,0,0,0,30,0,0,70,Ref_75,ABC,Ar,A,NA,0,0,1,Ref_1,ABC,4189.27,Ref_58,1,0,30,70,100,0,herbivore,-0.02762622,0.266011713,0.037856087,-0.1003301887,1.4633451003997888,29.063311748434252,4.1892700000000005,0.22622058000000003,2.6635084735739065,0.3440764110627805,17.20382055313902,Forest,Forest,220827598.14973828,2.623269821910045
115572495,18356,propithecus coronatus,ANIMALIA,CHORDATA,primates,MAMMALIA,indriidae,Propithecus,coronatus,NA,NA,NA,"Milne-Edwards, 1871",Critically Endangered,A2acd,3.1,Decreasing,Global,propithecus verreauxi,propithecus verreauxi,522,Indriidae,0,0,0,0,0,0,30,0,0,70,Ref_1,ABC,Ar,A,NA,0,0,1,Ref_1,ABC,3480,Ref_117,1,0,30,70,100,0,herbivore,-0.02762622,0.266011713,-0.017971965,-0.1003301887,1.4340734402970234,27.1689866444198,3.48,0.18792,2.4275854670845267,0.3680667273637122,18.40333636818561,Forest,Forest,233143269.55852637,2.6179582619548407
