Species,Mass,r
Oryctolagus cuniculus,1717.5128696706297,1.7578830840852337
Dromiciops gliroides,23.999378768098804,0.8560319749879212
Ornithorhynchus anatinus,1111.98774244556,0.5360310990462048
Tachyglossus aculeatus,2953.928642960281,0.32002948083689997
Isoodon macrourus,1306.1708881318418,4.695588031582526
Isoodon obesulus,708.4349849515063,2.0318422510182534
Macrotis lagotis,1170.5770359631379,1.6799253630099409
Perameles gunnii,756.3102739061051,6.94368461833902
Equus asinus,243388.46965041832,0.19998157617428067
Equus caballus,413047.501990161,0.19199503014479039
Tapirus terrestris,172583.7891990204,0.15998894957061957
Callimico goeldii,570.0330022189607,0.5039529444388469
Callithrix argentata,341.9794425137087,0.5600025273047176
Callithrix jacchus,256.68471016678694,0.6799703675596958
Callithrix pygmaea,97.43163713004515,0.5919567634501792
Leontopithecus rosalia,558.4701947368306,0.4960094913669796
Saguinus fuscicollis,357.27283815192885,0.3520383582687871
Saguinus midas,503.616557436085,0.5279465874108515
Saguinus oedipus,408.6956356281583,0.5199840077464202
Alouatta palliata,5596.287273819709,0.13145889789620455
Alouatta seniculus,5951.137709938006,0.13995550543348928
Aotus trivirgatus,847.6176666354922,0.23184086420238026
Ateles belzebuth,7500.6689873606865,0.056000252730471746
Ateles fusciceps,8369.509371711594,0.1039896189910883
Ateles geoffroyi,7179.595885446752,0.08390541446199891
Ateles paniscus,8013.08961991312,0.06350237773520935
Callicebus moloch,976.1127824302129,0.19933794970031188
Cebus albifrons,2380.126282194986,0.13995550543348928
Cebus apella,2788.6884631591693,0.11199277012546743
Cebus capucinus,2852.331512299011,0.13194410360717154
Cebus olivaceus,2684.7261934311446,0.08800148220049768
Lagothrix lagotricha,6931.065451499368,0.11972641734029249
Pithecia pithecia,1533.9104282643652,0.18398820693489612
Saimiri sciureus,723.9357102423043,0.1998895024574302
Cercocebus torquatus,7890.417802871681,0.17526289737318748
Cercopithecus ascanius,3498.6459845201675,0.07199295286960415
Cercopithecus diana,4778.592531515467,0.15201624020617863
Cercopithecus mitis,6591.738952443213,0.08000000000000002
Cercopithecus neglectus,5094.481623274436,0.1279941106294879
Chlorocebus aethiops,3947.298776597855,0.13598468105627975
Colobus guereza,9822.0015877425285,0.1679925363009941
Colobus polykomos,8822.669282177174,0.12000241523647584
Erythrocebus patas,5505.540984847947,0.20801276505322175
Lophocebus albigena,7037.20171722057,0.11199277012546743
Macaca arctoides,8237.586727618756,0.14400911683344086
Macaca fascicularis,3958.2206483572263,0.17599080872393993
Macaca fuscata,9516.998481129436,0.15180636701766792
Macaca mulatta,5654.575406876214,0.1679925363009941
Macaca nemestrina,6899.220098440474,0.17599080872393993
Macaca nigra,5791.619210831195,0.13598468105627975
Macaca silenus,5362.9037180085825,0.13598468105627975
Macaca sinica,4033.6666088992683,0.1279941106294879
Macaca sylvanus,9259.765745612469,0.1679925363009941
Mandrillus leucophaeus,11646.622527193325,0.14400911683344086
Mandrillus sphinx,13995.873225726178,0.14400911683344086
Miopithecus talapoin,1168.9609406393636,0.17599080872393993
Papio hamadryas,14002.32004785851,0.10791703060733229
Procolobus badius,7017.784049149896,0.11199277012546743
Semnopithecus entellus,11926.14265855822,0.14400911683344086
Theropithecus gelada,13583.134465871542,0.12000241523647584
Cheirogaleus medius,209.26663937233903,0.5120236096866969
Microcebus coquereli,306.54906794257874,0.4480123510092453
Microcebus murinus,68.7068440014232,0.5360310990462048
Galago moholi,179.9699516577357,0.7599586927010772
Galago senegalensis,202.48833065305598,0.4000276279815828
Galagoides demidoff,64.34280649922961,0.3839635399455556
Galagoides zanzibaricus,141.93843093800254,0.6319605770686532
