Mass,sigma,Scientific,English,SpecID,PassNonPass,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,Diet_Inv,Diet_Vend,Diet_Vect,Diet_Vfish,Diet_Vunk,Diet_Scav,Diet_Fruit,Diet_Nect,Diet_Seed,Diet_PlantO,Diet_5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment,Diet_VertFishScav,Diet_FruiNect,Diet_PlantSeed,Diet_AllAnimals,Diet_AllPlants
874,0.27386127875258304,ardea purpurea,purple heron,5224,Nonpasseriformes,Pelecaniformes,Ardeidae,Herons and egrets,25,BL3,30,20,30,20,0,0,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,0,70,30,0,0,0,0,0,Ref_1,1,Morgane,0,1064.48,Dunning08,1,NA,NA,70,0,0,100,0
3473,0.2588435821108957,ciconia ciconia,white stork,5369,Nonpasseriformes,Ciconiiformes,Ciconiidae,Storks,23,BL3,20,20,40,20,0,0,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,0,30,70,0,0,0,0,0,Ref_1,1,Other,0,3445.8,Dunning08,1,NA,NA,80,0,0,100,0
1200,0.2469817807045694,nipponia nippon,crested ibis,5317,Nonpasseriformes,Pelecaniformes,Threskiornithidae,Ibises and spoonbills,24,BL3,20,0,10,70,0,0,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,0,80,20,0,0,0,0,0,Ref_1,1,Other,0,1900,Dunning08,1,NA,NA,80,0,0,100,0
291,0.4658325879540846,columba oenas,stock pigeon,3322,Nonpasseriformes,Columbiformes,Columbidae,Doves and pigeons,65,BL3,20,0,0,0,0,0,0,0,40,40,PlantSeed,Ref_4,A,Carolina,0,0,80,20,0,0,0,0,Ref_4,1,Jessica,0,290.79,Dunning08,1,NA,NA,0,0,80,20,80
490,0.5039841267341661,columba palumbus,common wood-pigeon,3325,Nonpasseriformes,Columbiformes,Columbidae,Doves and pigeons,65,BL3,0,0,0,0,0,0,30,0,30,40,PlantSeed,Ref_4,A,Carolina,0,0,80,20,0,0,0,0,Ref_4,1,Jessica,0,490,Dunning08,1,NA,NA,0,30,70,0,100
119,1.4363147287415805,zenaida macroura,mourning dove,3439,Nonpasseriformes,Columbiformes,Columbidae,Doves and pigeons,65,BL3,0,0,0,0,0,0,0,0,90,10,PlantSeed,Ref_4,A,Carolina,0,0,60,40,0,0,0,0,Ref_4,1,Jessica,0,118.93,Dunning08,1,NA,NA,0,0,100,0,100
64,0.7509993342207435,coccyzus americanus,yellow billed cuckoo,1858,Nonpasseriformes,Cuculiformes,Cuculidae,Cuckoos,67,BL3,60,10,20,0,0,0,10,0,0,0,Invertebrate,Ref_4,A,Carolina,0,0,0,0,40,60,0,0,Ref_4,1,Jessica,0,64,Dunning08,1,NA,NA,30,10,0,90,10
1025,0.9664367542679656,accipiter gentilis,northern goshawk,4767,Nonpasseriformes,Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",36,BL3,0,90,10,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,866.04,Dunning08,1,NA,NA,100,0,0,100,0
238,0.1224744871391589,accipiter nisus,eurasian sparrowhawk,4753,Nonpasseriformes,Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",36,BL3,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,20,20,20,20,20,0,Ref_2,1,Jessica,0,220.79,Dunning08,1,NA,NA,100,0,0,100,0
4195,0.2345207879911715,aquila chrysaetos,golden eagle,4864,Nonpasseriformes,Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",36,BL3,0,80,10,0,0,10,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,4247.97,Dunning08,1,NA,NA,100,0,0,100,0
956,1.200833044182246,buteo lagopus,rough-legged hawk (buzzard),4840,Nonpasseriformes,Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",36,BL3,10,80,0,10,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,949.76,Dunning08,1,NA,NA,90,0,0,100,0
559,0.8977750274985377,buteo lineatus,red-shouldered hawk or buzzard,4808,Nonpasseriformes,Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",36,BL3,20,40,40,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,33,33,33,0,0,0,Ref_2,1,Jessica,0,603.72,Dunning08,1,NA,NA,80,0,0,100,0
435,1.7804493814764855,circus cyaneus,marsh hawk or hen harrier,4696,Nonpasseriformes,Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",36,BL3,10,70,10,0,0,10,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,392.98,Dunning08,1,NA,NA,90,0,0,100,0
4740,0.6049793384901669,haliaeetus leucocephalus,bald eagle,4637,Nonpasseriformes,Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",36,BL3,0,30,20,30,0,20,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,40,30,0,10,10,10,0,Ref_2,1,Morgane; Walter,0,4700.58,Dunning08,1,NA,NA,100,0,0,100,0
1080,0.260768096208106,milvus milvus,red kite,4620,Nonpasseriformes,Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",36,BL3,0,30,0,0,0,70,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,1071.77,Dunning08,1,NA,NA,100,0,0,100,0
378,0.43474130238568315,rostrhamus sociabilis,snail kite,4614,Nonpasseriformes,Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",36,BL3,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,366.94,Dunning08,1,NA,NA,0,0,0,100,0
10104,0.35213633723318016,gymnogyps californianus,california condor,5352,Nonpasseriformes,Accipitriformes,Cathartidae,New World vultures,34,BL3,0,0,0,0,0,100,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,8442.74,Dunning08,1,NA,NA,100,0,0,100,0
782,0.161245154965971,falco peregrinus,peregrine falcon,4980,Nonpasseriformes,Falconiformes,Falconidae,Falcons and caracaras,35,BL3,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,20,20,20,20,20,0,Ref_2,1,Other,0,759.95,Dunning08,1,NA,NA,90,0,0,100,0
1461,0.372827037646145,falco rusticolus,gyr falcon,4978,Nonpasseriformes,Falconiformes,Falconidae,Falcons and caracaras,35,BL3,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,70,10,10,0,10,0,Ref_2,1,Jessica,0,1431.72,Dunning08,1,NA,NA,100,0,0,100,0
116,1.1601724009818541,falco sparverius,american hawk or kestrel,4950,Nonpasseriformes,Falconiformes,Falconidae,Falcons and caracaras,35,BL3,60,20,20,0,0,0,0,0,0,0,Invertebrate,Ref_2,A,Jennifer,0,0,50,40,10,0,0,0,Ref_2,1,Jessica,0,114.61,Dunning08,1,NA,NA,40,0,0,100,0
202,1.0290772565750348,falco tinnunculus,eurasian kestrel,4941,Nonpasseriformes,Falconiformes,Falconidae,Falcons and caracaras,35,BL3,10,90,0,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,80,10,10,0,0,0,Ref_2,1,Jessica,0,183.21,Dunning08,1,NA,NA,90,0,0,100,0
173,0.6,callipepla californica,california quail,466,Nonpasseriformes,Galliformes,Odontophoridae,New World quails,10,BL3,0,0,0,0,0,0,0,0,50,50,PlantSeed,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,165.7,Dunning08,1,NA,NA,0,0,100,0,100
480,0.17606816861659008,alectoris rufa,red-legged partridge,245,Nonpasseriformes,Galliformes,Phasianidae,"Grouse, pheasants and partridges",11,BL3,10,0,0,0,0,0,10,0,20,60,PlantSeed,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,527.86,Dunning08,1,NA,NA,0,10,80,10,90
390,0.7674633541739957,perdix perdix,grey partridge,294,Nonpasseriformes,Galliformes,Phasianidae,"Grouse, pheasants and partridges",11,BL3,30,0,0,0,0,0,0,0,30,40,PlantSeed,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,405.3,Dunning08,1,NA,NA,0,0,70,30,70
1135,1.2653062870309306,phasianus colchicus,ring-necked pheasant,393,Nonpasseriformes,Galliformes,Phasianidae,"Grouse, pheasants and partridges",11,BL3,10,0,0,0,0,0,30,0,30,30,PlantSeed,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,1120.31,Dunning08,1,NA,NA,0,30,60,10,90
429,0.9471008394041259,bonasa bonasia,hazel grouse,432,Nonpasseriformes,Galliformes,Phasianidae,"Grouse, pheasants and partridges",11,BL3,0,0,0,0,0,0,20,0,10,70,PlantSeed,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,429,Dunning08,1,NA,NA,0,20,80,0,100
577,0.39496835316262996,bonasa umbellus,ruffed grouse,434,Nonpasseriformes,Galliformes,Phasianidae,"Grouse, pheasants and partridges",11,BL3,10,0,0,0,0,0,20,0,0,70,PlantSeed,Ref_2,A,Jennifer,0,0,60,40,0,0,0,0,Ref_2,1,Other,0,530.91,Dunning08,1,NA,NA,0,20,70,10,90
178,0.4,colinus virginianus,northern bobwhite or bobwhite quail,469,Nonpasseriformes,Galliformes,Odontophoridae,New World quails,10,BL3,0,0,0,0,0,0,0,0,70,30,PlantSeed,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,171.89,Dunning08,1,NA,NA,0,0,100,0,100
