scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,redlistCategory,populationTrend,scientific_resolved,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,BodyMass.Value,Diet.VertFishScav,Diet.FruiNect,Diet.PlantSeed,Diet.AllPlants,Diet.AllAnimal,Diet,Effect_Order,Effect_Family,Effect_Species,effect_diet,log10_density,density,body_mass_kg,home_range_size,dispersal_dist,min_patch_size,min_patch_size500,level1_habitats,habitats_mixed,a_pred,b_pred
hapalemur griseus,ANIMALIA,CHORDATA,primates,MAMMALIA,lemuridae,Hapalemur,griseus,Vulnerable,Decreasing,hapalemur griseus,0,0,0,0,0,0,0,0,0,100,1400,0,0,100,100,0,herbivore,-0.02762622,0.507790941,-0.088651155,-0.100330189,1.735534372,54.39191779,1.4,0.0756,1.539745434,0.183850844,9.192542207,Forest,Forest,302630923.5,2.589647721
indri indri,ANIMALIA,CHORDATA,primates,MAMMALIA,indriidae,Indri,indri,Critically Endangered,Decreasing,indri indri,0,0,0,0,0,0,30,0,0,70,8000,0,30,70,100,0,herbivore,-0.02762622,0.266011713,-0.38593239,-0.100330189,0.946940631,8.849946204,8,0.432,3.680695586,1.129950371,56.49751857,Forest,Forest,179978245.3,2.638969548
lepilemur edwardsi,ANIMALIA,CHORDATA,primates,MAMMALIA,lepilemuridae,Lepilemur,edwardsi,Endangered,Decreasing,lepilemur edwardsi,0,0,0,0,0,0,0,0,0,100,700,0,0,100,100,0,herbivore,-0.02762622,0.341742337,0.056046369,-0.100330189,1.813418136,65.0755933,0.7,0.0378,1.088764437,0.153667443,7.683372131,Forest,Forest,346965093,2.557261483
lepilemur leucopus,ANIMALIA,CHORDATA,primates,MAMMALIA,lepilemuridae,Lepilemur,leucopus,Endangered,Decreasing,lepilemur leucopus,0,0,0,0,0,0,0,0,0,100,650,0,0,100,100,0,herbivore,-0.02762622,0.341742337,0,-0.100330189,1.767981481,58.61131712,0.65,0.0351,1.049159664,0.170615514,8.530775703,Forest,Forest,351495008.2,2.553460992
lepilemur ruficaudatus,ANIMALIA,CHORDATA,primates,MAMMALIA,lepilemuridae,Lepilemur,ruficaudatus,Critically Endangered,Decreasing,lepilemur ruficaudatus,0,0,0,0,0,0,0,0,0,100,700,0,0,100,100,0,herbivore,-0.02762622,0.341742337,0.120348371,-0.100330189,1.877720138,75.4605799,0.7,0.0378,1.088764437,0.132519522,6.625976115,Forest,Forest,346965093,2.557261483
varecia variegata,ANIMALIA,CHORDATA,primates,MAMMALIA,lemuridae,Varecia,variegata,Critically Endangered,Decreasing,varecia variegata,0,0,0,0,0,0,100,0,0,0,3850,0,100,0,100,0,herbivore,-0.02762622,0.507790941,-0.209143147,-0.100330189,1.47021591,29.52676788,3.85,0.2079,2.553378938,0.338675741,16.93378707,Forest,Forest,230929654,2.62368651
cheirogaleus medius,ANIMALIA,CHORDATA,primates,MAMMALIA,cheirogaleidae,Cheirogaleus,medius,Vulnerable,Decreasing,cheirogaleus medius,20,0,0,0,0,0,30,20,0,30,181,0,50,30,80,20,herbivore,-0.02762622,0.445551765,0.376437877,-0.100330189,2.431262497,269.9370498,0.181,0.009774,0.553635837,0.037045674,1.85228371,Forest,Forest,381438831.7,2.46384761
cheirogaleus major,ANIMALIA,CHORDATA,primates,MAMMALIA,cheirogaleidae,Cheirogaleus,major,Vulnerable,Decreasing,cheirogaleus major,20,0,0,0,0,0,30,20,0,30,450,0,50,30,80,20,herbivore,-0.02762622,0.445551765,0.062448475,-0.100330189,1.986884929,97.02528552,0.45,0.0243,0.872953607,0.103065917,5.153295837,Forest,Forest,367793704.8,2.531634336
microcebus rufus,ANIMALIA,CHORDATA,primates,MAMMALIA,cheirogaleidae,Microcebus,rufus,Vulnerable,Decreasing,microcebus rufus,20,0,20,0,0,0,30,10,0,20,42.5,20,40,20,60,40,omnivore,-0.02762622,0.445551765,-0.048810082,-0.055298106,2.258492593,181.3395746,0.0425,0.002295,0.268274486,0.055145161,2.75725804,"Forest, Artificial - Terrestrial","Forest, Plantations & Heavily Degraded Former Forest",238505671,2.279324053
eulemur albifrons,ANIMALIA,CHORDATA,primates,MAMMALIA,lemuridae,Eulemur,albifrons,Vulnerable,Decreasing,eulemur albifrons,20,0,0,0,0,0,40,0,0,40,2300,0,40,40,80,20,herbivore,-0.02762622,0.507790941,-0.011966274,-0.100330189,1.741146559,55.09936059,2.3,0.1242,1.973553141,0.181490309,9.074515469,Forest,Forest,267770716.5,2.608112282
eulemur coronatus,ANIMALIA,CHORDATA,primates,MAMMALIA,lemuridae,Eulemur,coronatus,Endangered,Decreasing,eulemur coronatus,0,0,0,0,0,0,30,0,0,70,1650,0,30,70,100,0,herbivore,-0.02762622,0.507790941,0.147002631,-0.100330189,1.94766561,88.64731987,1.65,0.0891,1.671578894,0.112806569,5.640328447,Forest,Forest,291514614.4,2.596293951
microcebus murinus,ANIMALIA,CHORDATA,primates,MAMMALIA,cheirogaleidae,Microcebus,murinus,Least Concern,Decreasing,microcebus murinus,20,0,20,0,0,0,30,10,0,20,69,20,40,20,60,40,omnivore,-0.02762622,0.445551765,-0.011986783,-0.055298106,2.225937485,168.2431865,0.069,0.003726,0.341829431,0.059437771,2.971888552,"Shrubland, Forest","Shrubland, Forest",308425239.3,2.354378821
eulemur rubriventer,ANIMALIA,CHORDATA,primates,MAMMALIA,lemuridae,Eulemur,rubriventer,Vulnerable,Decreasing,eulemur rubriventer,0,0,0,0,0,0,30,0,0,70,1400,0,30,70,100,0,herbivore,-0.02762622,0.507790941,0.154341488,-0.100330189,1.978527015,95.17590493,1.4,0.0756,1.539745434,0.10506861,5.253430481,Forest,Forest,302630923.5,2.589647721
lepilemur mustelinus,ANIMALIA,CHORDATA,primates,MAMMALIA,lepilemuridae,Lepilemur,mustelinus,Vulnerable,Decreasing,lepilemur mustelinus,0,0,0,0,0,0,0,0,0,100,773,0,0,100,100,0,herbivore,-0.02762622,0.341742337,0.008353124,-0.100330189,1.751523046,56.43168865,0.773,0.041742,1.144128105,0.177205401,8.860270036,Forest,Forest,340581832.9,2.562148291
